nombre,genero,director,pais,duracion_ms
Cries of Terror,Romance,Andrey Zvyagintsev,Mexico,6147276
A Better Life,Drama,Martin Scorsese,Mexico,5494106
A Day Without a Mexican,Thriller,Bong Joon-ho,Mexico,7407328
A Little Princess,Thriller,Pedro Almodóvar,Mexico,5708296
Alamar,Drama,Quentin Tarantino,Mexico,5482711
Amores perros,Thriller,Steven Spielberg,Mexico,9434559
Amor a la mexicana,Thriller,Pedro Almodóvar,Mexico,10726979
Antolog�a del humor,Romance,Hayao Miyazaki,Mexico,7835139
Arr�ncame la vida,Drama,Andrey Zvyagintsev,Mexico,5403196
Asesino en serio,Crimen,Francis Ford Coppola,Mexico,5465561
Bajo el mismo techo,Aventura,Quentin Tarantino,Mexico,10700010
Bajo la misma luna,Ciencia ficción,Ridley Scott,Mexico,6297285
Bastardos,Ciencia ficción,Steven Spielberg,Mexico,9734334
Belleza mexicana,Comedia,James Cameron,Mexico,6094907
Biutiful,Thriller,Bong Joon-ho,Mexico,8379730
Blazing Saddles,Crimen,Bong Joon-ho,Mexico,8231615
Bonita,Crimen,Steven Spielberg,Mexico,8103236
Cach�,Aventura,Ridley Scott,Mexico,9459143
Callej�n de los milagros,Acción,Hayao Miyazaki,Mexico,9742759
Camila,Acción,James Cameron,Mexico,5969280
Cantinflas: El rey del humor,Aventura,Steven Spielberg,Mexico,5466658
Capulina y la flor del mal,Romance,Pedro Almodóvar,Mexico,7160311
Caridad,Ciencia ficción,Francis Ford Coppola,Mexico,8476558
Casi divas,Romance,Bong Joon-ho,Mexico,6505344
Coche Polaco,Comedia,Andrey Zvyagintsev,Mexico,7755388
Cronos,Crimen,Steven Spielberg,Mexico,8549949
Cuidado con el perro,Drama,Christopher Nolan,Mexico,9593294
Cuentos de la abuela,Comedia,Guillermo del Toro,Mexico,6825522
Dama de noche,Aventura,Guillermo del Toro,Mexico,8413809
Delirio,Crimen,James Cameron,Mexico,9437075
El asesino y el mafioso,Drama,Bong Joon-ho,Mexico,7578457
El barco de las tres rosas,Aventura,Andrey Zvyagintsev,Mexico,6491558
El chavo del ocho,Acción,Andrey Zvyagintsev,Mexico,6498494
El Clavo,Comedia,Bong Joon-ho,Mexico,6026939
El coraz�n del tiempo,Thriller,Martin Scorsese,Mexico,6114134
El jard�n del Ed�n,Thriller,Ridley Scott,Mexico,9858547
El laberinto del fauno,Acción,Martin Scorsese,Mexico,10267181
El mariachi,Aventura,Guillermo del Toro,Mexico,7801752
El secreto,Crimen,Francis Ford Coppola,Mexico,6802470
El sue�o de L�,Acción,Ridley Scott,Mexico,8567250
El tej�n,Thriller,Christopher Nolan,Mexico,8129802
El tono,Crimen,Christopher Nolan,Mexico,9645608
El viol�n,Romance,Guillermo del Toro,Mexico,9646349
Enamorada,Acción,Steven Spielberg,Mexico,9536942
El lamento,Romance,Pedro Almodóvar,Mexico,7127580
En la cueva del cerro,Ciencia ficción,Quentin Tarantino,Mexico,8260195
En tiempos de guerra,Romance,Quentin Tarantino,Mexico,8252668
Ensayo sobre la ceguera,Crimen,Ridley Scott,Mexico,9804672
Entre la muerte y la gloria,Acción,Pedro Almodóvar,Mexico,8341702
Eva al desnudo,Drama,Ridley Scott,Mexico,6419210
Examen de conciencia,Thriller,Andrey Zvyagintsev,Mexico,10670178
Fabiana,Aventura,Pedro Almodóvar,Mexico,9934905
Frida,Crimen,Steven Spielberg,Mexico,6853289
Fuerza,Crimen,Francis Ford Coppola,Mexico,7630596
Fuga de Cuentos,Acción,Hayao Miyazaki,Mexico,7794801
Geisha Mexicana,Acción,Bong Joon-ho,Mexico,6859978
Girasol,Acción,Pedro Almodóvar,Mexico,6702795
Grito de guerra,Thriller,Steven Spielberg,Mexico,7249295
Gran panorama,Crimen,James Cameron,Mexico,7755153
Gritos en la noche,Crimen,James Cameron,Mexico,7050687
Guerrero invisible,Romance,Guillermo del Toro,Mexico,9037952
Hablemos de amor,Romance,Martin Scorsese,Mexico,5984608
Hasta el viento tiene miedo,Ciencia ficción,Pedro Almodóvar,Mexico,6689485
H�roes an�nimos,Thriller,Pedro Almodóvar,Mexico,6497522
Hotel de los misterios,Aventura,Ridley Scott,Mexico,7617435
Irene,Aventura,Quentin Tarantino,Mexico,10525368
Jacinta,Acción,Quentin Tarantino,Mexico,8729547
Juan y la mula,Ciencia ficción,Bong Joon-ho,Mexico,8440199
La culebra,Drama,Ridley Scott,Mexico,10241840
La ciudad de las estrellas,Aventura,Quentin Tarantino,Mexico,6882553
La flor de mi secreto,Acción,Christopher Nolan,Mexico,8864555
La guerra de los mundos,Crimen,Steven Spielberg,Mexico,8524030
La leyenda del tesoro de los nazis,Thriller,Christopher Nolan,Mexico,10350252
La leyenda de los tres caballeros,Ciencia ficción,Christopher Nolan,Mexico,10206062
La leyenda de los muertos,Romance,Quentin Tarantino,Mexico,7288538
La leyenda de Pancho Villa,Acción,Christopher Nolan,Mexico,8095488
La luz en el cerro,Thriller,Francis Ford Coppola,Mexico,5956186
La muerte de un narcotraficante,Acción,Andrey Zvyagintsev,Mexico,6200384
La ni�a en la rosa,Romance,Quentin Tarantino,Mexico,10794936
La noche de los inocentes,Acción,Martin Scorsese,Mexico,6507760
La sombra de los otros,Thriller,Ridley Scott,Mexico,10611433
La sombra del caudillo,Ciencia ficción,Guillermo del Toro,Mexico,7733607
La soledad,Aventura,Hayao Miyazaki,Mexico,5429828
La Tora,Acción,Christopher Nolan,Mexico,7847682
La traici�n,Thriller,Francis Ford Coppola,Mexico,9558076
Las luces de la ciudad,Ciencia ficción,Quentin Tarantino,Mexico,6195892
Las cosas simples,Acción,Martin Scorsese,Mexico,10023716
Las leyendas del r�o,Romance,Quentin Tarantino,Mexico,7622168
Las novias del agua,Drama,Quentin Tarantino,Mexico,10023088
Las �nicas canciones de amor,Thriller,Quentin Tarantino,Mexico,6396477
Lazos de amor,Acción,James Cameron,Mexico,9082293
Lejos del mar,Crimen,Martin Scorsese,Mexico,6087840
Los amores de un hombre y una mujer,Aventura,James Cameron,Mexico,5680904
Los �ngeles y los demonios,Ciencia ficción,Ridley Scott,Mexico,8921311
Los fantasmas de la noche,Drama,Andrey Zvyagintsev,Mexico,6332200
Los hombres de la sierra,Aventura,Steven Spielberg,Mexico,10781198
A Beautiful Mind,Crimen,Martin Scorsese,Mexico,9622395
A Clockwork Orange,Romance,Bong Joon-ho,Estados Unidos,7883849
A Few Good Men,Romance,Christopher Nolan,Estados Unidos,9958058
A Ghost Story,Ciencia ficción,Guillermo del Toro,Estados Unidos,7589337
A League of Their Own,Acción,Martin Scorsese,Estados Unidos,9106307
A Quiet Place,Aventura,James Cameron,Estados Unidos,8931929
A Star Is Born (2018),Drama,Hayao Miyazaki,Estados Unidos,9452664
A Walk to Remember,Crimen,Martin Scorsese,Estados Unidos,7737694
American Beauty,Romance,Ridley Scott,Estados Unidos,7838234
American History X,Crimen,Pedro Almodóvar,Estados Unidos,9453038
American Psycho,Romance,Ridley Scott,Estados Unidos,8183300
Annie Hall,Comedia,Francis Ford Coppola,Estados Unidos,7984677
Arrival,Thriller,Andrey Zvyagintsev,Estados Unidos,8861029
